(10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 1ms delay 2.00000% loss) (10.00Mbit 1ms delay 2.00000% loss) *** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 75 -f m -b 10M -C cubic',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 38086 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec   887 KBytes  7.26 Mbits/sec    0    187 KBytes       
[  5]  61.00-62.00  sec   128 KBytes  1.05 Mbits/sec    2   14.1 KBytes       
[  5]  62.00-63.00  sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  5]  63.00-64.00  sec   128 KBytes  1.05 Mbits/sec    2   14.1 KBytes       
[  5]  64.00-65.00  sec   128 KBytes  1.05 Mbits/sec    0   21.2 KBytes       
[  5]  65.00-66.00  sec   128 KBytes  1.05 Mbits/sec    4   17.0 KBytes       
[  5]  66.00-67.00  sec   128 KBytes  1.05 Mbits/sec    6   9.90 KBytes       
[  5]  67.00-68.00  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  68.00-69.00  sec   128 KBytes  1.05 Mbits/sec    0   18.4 KBytes       
[  5]  69.00-70.00  sec   128 KBytes  1.05 Mbits/sec    4   11.3 KBytes       
[  5]  70.00-71.00  sec  0.00 Bytes  0.00 Mbits/sec    2   11.3 KBytes       
[  5]  71.00-72.00  sec   128 KBytes  1.05 Mbits/sec    2   9.90 KBytes       
[  5]  72.00-73.00  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  5]  73.00-74.00  sec   128 KBytes  1.05 Mbits/sec    0   18.4 KBytes       
[  5]  74.00-75.00  sec   128 KBytes  1.05 Mbits/sec    0   22.6 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-75.00  sec  7.37 MBytes  0.82 Mbits/sec  128             sender
[  5]   0.00-75.15  sec  6.63 MBytes  0.74 Mbits/sec                  receiver

iperf Done.
*** Stopping 0 controllers

*** Stopping 2 links
..
*** Stopping 0 switches

*** Stopping 3 hosts
h1 h2 r1 
*** Done
max_queue_size = 140 packets
