*** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 31 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 35512 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  11.90-12.00  sec  0.00 Bytes  0.00 Mbits/sec    2    126 KBytes       
[  5]  12.00-12.10  sec   256 KBytes  21.0 Mbits/sec    0    105 KBytes       
[  5]  12.10-12.20  sec  0.00 Bytes  0.00 Mbits/sec    0    109 KBytes       
[  5]  12.20-12.30  sec   128 KBytes  10.5 Mbits/sec    0    112 KBytes       
[  5]  12.30-12.40  sec  0.00 Bytes  0.00 Mbits/sec    0    115 KBytes       
[  5]  12.40-12.50  sec   128 KBytes  10.5 Mbits/sec    0    117 KBytes       
[  5]  12.50-12.60  sec   128 KBytes  10.5 Mbits/sec    0    120 KBytes       
[  5]  12.60-12.70  sec  0.00 Bytes  0.00 Mbits/sec    0    123 KBytes       
[  5]  12.70-12.80  sec   128 KBytes  10.5 Mbits/sec    0    124 KBytes       
[  5]  12.80-12.90  sec  0.00 Bytes  0.00 Mbits/sec    0    127 KBytes       
[  5]  12.90-13.00  sec   128 KBytes  10.5 Mbits/sec    0    129 KBytes       
[  5]  13.00-13.10  sec   128 KBytes  10.5 Mbits/sec    0    130 KBytes       
[  5]  13.10-13.20  sec  0.00 Bytes  0.00 Mbits/sec    0    133 KBytes       
[  5]  13.20-13.30  sec   128 KBytes  10.5 Mbits/sec    0    134 KBytes       
[  5]  13.30-13.40  sec   128 KBytes  10.5 Mbits/sec    0    136 KBytes       
[  5]  13.40-13.50  sec  0.00 Bytes  0.00 Mbits/sec    0    137 KBytes       
[  5]  13.50-13.60  sec   128 KBytes  10.5 Mbits/sec    2    115 KBytes       
[  5]  13.60-13.70  sec  0.00 Bytes  0.00 Mbits/sec    2   96.2 KBytes       
[  5]  13.70-13.80  sec   128 KBytes  10.5 Mbits/sec    0   96.2 KBytes       
[  5]  13.80-13.90  sec   128 KBytes  10.5 Mbits/sec    0   99.0 KBytes       
[  5]  13.90-14.00  sec  0.00 Bytes  0.00 Mbits/sec    0    100 KBytes       
[  5]  14.00-14.10  sec   128 KBytes  10.5 Mbits/sec    0    102 KBytes       
[  5]  14.10-14.20  sec  0.00 Bytes  0.00 Mbits/sec    0    105 KBytes       
[  5]  14.20-14.30  sec   128 KBytes  10.5 Mbits/sec    0    106 KBytes       
[  5]  14.30-14.40  sec  0.00 Bytes  0.00 Mbits/sec    0    107 KBytes       
[  5]  14.40-14.50  sec   128 KBytes  10.5 Mbits/sec    0    107 KBytes       
[  5]  14.50-14.60  sec   128 KBytes  10.5 Mbits/sec    0    109 KBytes       
[  5]  14.60-14.70  sec  0.00 Bytes  0.00 Mbits/sec    0    110 KBytes       
[  5]  14.70-14.80  sec   128 KBytes  10.5 Mbits/sec    0    110 KBytes       
[  5]  14.80-14.90  sec  0.00 Bytes  0.00 Mbits/sec    0    112 KBytes       
[  5]  14.90-15.00  sec   128 KBytes  10.5 Mbits/sec    0    113 KBytes       
[  5]  15.00-15.10  sec  0.00 Bytes  0.00 Mbits/sec    0    113 KBytes       
