(10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 75ms delay 0.00000% loss) (100.00Mbit 1ms delay 5.00000% loss) (100.00Mbit 1ms delay 5.00000% loss) *** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 150 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 58004 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   5.20-5.30   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]   5.30-5.40   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   5.40-5.50   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   5.50-5.60   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  5]   5.60-5.70   sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  5]   5.70-5.80   sec  0.00 Bytes  0.00 Mbits/sec    1   7.07 KBytes       
[  5]   5.80-5.90   sec  0.00 Bytes  0.00 Mbits/sec    2   4.24 KBytes       
[  5]   5.90-6.00   sec  0.00 Bytes  0.00 Mbits/sec    1   7.07 KBytes       
[  5]   6.00-6.10   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   6.10-6.20   sec  0.00 Bytes  0.00 Mbits/sec    2   4.24 KBytes       
[  5]   6.20-6.30   sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]   6.30-6.40   sec  0.00 Bytes  0.00 Mbits/sec    1   2.83 KBytes       
[  5]   6.40-6.50   sec  0.00 Bytes  0.00 Mbits/sec    0   2.83 KBytes       
[  5]   6.50-6.60   sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]   6.60-6.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   6.70-6.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   6.80-6.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   6.90-7.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   7.00-7.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   7.10-7.20   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   7.20-7.30   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   7.30-7.40   sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  5]   7.40-7.50   sec  0.00 Bytes  0.00 Mbits/sec    1   4.24 KBytes       
[  5]   7.50-7.60   sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]   7.60-7.70   sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]   7.70-7.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
